,Chromosome,Similarity
0,Chromosome_1,1.685350928104666e-05
1,Chromosome_10,1.6971206536437303e-05
2,Chromosome_11,1.781897745401986e-05
3,Chromosome_12,1.7467703971763496e-05
4,Chromosome_13,1.690568430447451e-05
5,Chromosome_14,1.779700520599291e-05
6,Chromosome_15,1.807054108193222e-05
7,Chromosome_16,1.7392235595902842e-05
8,Chromosome_17,1.718778299808978e-05
9,Chromosome_18,1.6310102579064862e-05
10,Chromosome_19,1.8017804485354747e-05
11,Chromosome_2,1.7464330742620944e-05
12,Chromosome_20,1.646411810363762e-05
13,Chromosome_21,1.7486599126913986e-05
14,Chromosome_22,1.7212169870957494e-05
15,Chromosome_3,1.6587120671940338e-05
16,Chromosome_4,1.6482727237548023e-05
17,Chromosome_5,1.719476974559824e-05
18,Chromosome_6,1.6648395383987338e-05
19,Chromosome_7,1.8409577993799953e-05
20,Chromosome_8,1.6560617182676972e-05
21,Chromosome_9,1.6658120374494523e-05
22,Chromosome_Full,1.724333769208183e-05
23,Chromosome_Nan,1.82050360410033e-05
24,Chromosome_X,1.676729454896593e-05
25,Chromosome_Y,2.00262789255075e-05
